Variables,Season,Tide,Time,mean_vals
Silicate,FALL,High,Day,3.103
Silicate,FALL,High,Night,5.401750000000001
Silicate,FALL,Low,Day,18.845750000000002
Silicate,FALL,Low,Night,31.09375
Silicate,SPRING,High,Day,5.532926829268293
Silicate,SPRING,High,Night,7.806000000000001
Silicate,SPRING,Low,Day,38.07081081081081
Silicate,SPRING,Low,Night,16.65125
Temp_in,FALL,High,Day,27.61199497375
Temp_in,FALL,High,Night,26.03778356625
Temp_in,FALL,Low,Day,26.537438673
Temp_in,FALL,Low,Night,26.05357711275
Temp_in,SPRING,High,Day,25.724491070243904
Temp_in,SPRING,High,Night,23.8235390425
Temp_in,SPRING,Low,Day,24.213987407837838
Temp_in,SPRING,Low,Night,24.18520973125
pH,FALL,High,Day,8.14795
pH,FALL,High,Night,7.961969199225
pH,FALL,Low,Day,8.060649999999999
pH,FALL,Low,Night,7.982280327075
pH,SPRING,High,Day,8.162756097560976
pH,SPRING,High,Night,7.942628926725
pH,SPRING,Low,Day,8.023189189189189
pH,SPRING,Low,Night,7.993239611025
